name,description,eligibility,amount,procedure,contact,url
Verbesserung der Angebotsqualität im rheinland-pfälzischen Gastgewerbe,"Das Land Rheinland-Pfalz gewährt auf Basis der Tourismusstrategie des Landes im Wege der Projektförderung Zuwendungen an kleine und mittlere Unternehmen des rheinland-pfälzischen Gastgewerbes. Gefördert werden Maßnahmen, die erwarten lassen, dass sie zur Qualitätsverbesserung des touristischen Angebots beitragen, nachhaltig wirken, auf einen deutlichen Mehrwert und die Anpassung an heutige Anforderungen und zukünftige Markttrends ausgerichtet sind. Insbesondere sollen wertschöpfungsstarke Zielgruppen angesprochen und ein Beitrag zur Saisonverlängerung geleistet werden.","Gefördert werden kleine und mittlere gewerbliche Unternehmen (KMU) des Gastgewerbes - darunter zu verstehen sind die unten genannten Arten von Beherbergungsbetrieben, einschließlich Campingbetriebe, sowie als speisengeprägte Gastronomiebetriebe Restaurants mit herkömmlicher Bedienung außerhalb von Verkehrsmitteln.Das heißt, inHotels, Hotels garni, Gasthöfen und Pensionenmüssen nach Maßnahmeabschluss mindestens 25 Zimmer mit zeitgemäßer Ausstattung zur Verfügung stehen. Die Betriebsstätte muss sich in Rheinland-Pfalz außerhalb der Fördergebiete der Gemeinschaftsaufgabe „Verbesserung der regionalen Wirtschaftsstruktur“ (GRW-Gebiete) befinden.Gastronomiebetriebenmüssen mindestens 40 Sitzplätze im Innenbereich zur Verfügung stehen. Die Betriebsstätte muss sich in Rheinland-Pfalz befinden. Die Lage außerhalb von GRW-Gebieten ist hier nicht erforderlich.Campingbetriebenmüssen mindestens 40 touristische Stellplätze - die nicht dem Dauercamping zuzurechnen sind - und zeitgemäße sanitäre Einrichtungen zur Verfügung stehen. Die Betriebsstätte muss sich in Rheinland-Pfalz befinden. Die Lage außerhalb von GRW-Gebieten ist hier nicht erforderlich.gastgewerblichen Mischbetrieben, die sowohl Beherbergung als auch eine speisengeprägte Gastronomie anbieten, müssen mindestens 25 Zimmer mit zeitgemäßer Ausstattung oder mindestens 40 Sitzplätze im Innenbereich oder 40 touristische Stellplätze - die nicht dem Dauercamping zuzurechnen sind - und zeitgemäße sanitäre Einrichtungen zur Verfügung stehen. Die Betriebsstätte muss sich in Rheinland-Pfalz befinden. Befindet sich der gastgewerbliche Mischbetrieb innerhalb eines GRW-Gebiets, kann er nur dann gefördert werden, wenn zum Zeitpunkt der Antragstellung im Jahresdurchschnitt weniger als 30 % des Umsatzes der Betriebsstätte mit reinen Übernachtungen erzielt wird. Diese Einschränkung gilt nicht für einen gastgewerblichen Mischbetrieb, der ausschließlich einen Campingplatz und einen speisegeprägten Gastronomiebetrieb umfasstDas Investitionsvorhaben muss in Rheinland-Pfalz umgesetzt werden. Innerhalb von sechs Monaten nach Maßnahmeabschluss ist die Zertifizierung „ServiceQualität Deutschland -Stufe I“ nachzuweisen.",Die Förderung erfolgt als Investitionszuschuss in Höhe des entsprechenden Förderhöchstsatzes. Dabei kann die Zuwendung je nach Unternehmensgröße 10 bis 20 % der förderfähigen Kosten betragen. Die maximale Zuschusshöhe beträgt in der Regel 500.000 Euro.,Der Förderantrag muss vor Investitionsbeginn - grundsätzlich der Abschluss eines Lieferungs- oder Leistungsvertrages - bei der ISB eingegangen sein. Als Investitionsbeginn gilt auch ein auf die Finanzierung des Vorhabens abgeschlossener Darlehens- oder Finanzierungsvertrag sowie die Aufnahme von Eigenleistungen. Vor dem Beginn des Investitionsvorhabens ist die schriftliche Bestätigung der grundsätzlichen Förderfähigkeit durch die ISB abzuwarten.,Beratung Wirtschaftsförderung | 06131 6172-1333 | beratung@isb.rlp.de,https://isb.rlp.de/foerderung/299.html
Darlehen Wohneigentum Universell,"Sie wollen Wohneigentum kaufen, bauen oder modernisieren?Die ISB unterstützt Sie dabei mit dem ISB-DarlehenWohneigentum Universell.","Bauherrinnen/Bauherren oder Käuferinnen/Käufer selbst genutzten Wohneigentums sowie Eigentümer, die ihr Objekt modernisieren möchten.Es müssen keine Einkommensgrenzen eingehalten werden.Mindestens ein Antragsteller muss ein unbefristetes Arbeitsverhältnis vorweisen, das seit mindestens 6 Monaten besteht.","Mit einemDarlehen, das in der Regel im Nachrang abgesichert wird. Der Darlehensbetrag liegt bei max. 100.000 Euro.Den Zinssatz des ISB-DarlehenWohneigentum Universell finden Siehier.Zinsfestschreibungen: 20 Jahre.","Der Antrag für das ISB-DarlehenWohneigentum Universell kann online gestellt werden, beachten Sie hierfür den entsprechendenLinkam Seitenende.",Beratung Wohnraumförderung | 06131 6172-1991 | wohnraum@isb.rlp.de || Martin Dzikowski | 06131 6172-1617 | martin.dzikowski@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de,https://isb.rlp.de/foerderung/710.html
Erwerb von allgemeinen Belegungsrechten an bestehenden Mietwohnungen,"Eigentümerinnen und Eigentümer vonMietwohnungen, die ihre Wohnungen Mieterhaushalten zur Verfügung stellen, die bestimmteEinkommensgrenzen (§13 LWoFG plus 40 %)nicht überschreiten.","Eigentümerinnen und Eigentümer vonMietwohnungen, die ihre Wohnungen Mieterhaushalten zur Verfügung stellen, die bestimmteEinkommensgrenzen (§13 LWoFG plus 40 %)nicht überschreiten.","Gefördert wird mit einem einmaligen Zuschuss. Der Zuschuss ermittelt sich nach der Formel Preisunterschied x 109 x Wohnfläche.Beispiel: 0,75 Euro x 109 x 70 qm = 5.722,50 EuroDer Wert ""Preisunterschied"" entspricht 15 % des Mittelwerts des für die Wohnung maßgeblichen Mietspiegelfeldes oder einer anderen vergleichbaren Mietpreisübersicht.",,Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/781.html
Förderung des Erwerbs von Genossenschaftsanteilen,"Sie wollen Mitglied einer Wohnungsgenossenschaft werden, um ein Anrecht auf die Überlassung einer Wohnung zur Selbstnutzung zu erwerben.Die ISB unterstützt Sie dabei mit einem ISB-DarlehenErwerb von Genossenschaftsanteilen.","Haushalte, deren Einkommen die Einkommensgrenze des§ 13 Abs. 2 Landeswohnraumförderungsgesetz (LWoFG)um nicht mehr als 60 % übersteigt.","Mit dem ISB-Darlehen Erwerb von Genossenschaftsanteilen, das bis zu 80 % der Erwerbskosten für die zu zeichnenden Geschäftsanteile, höchstens 50.000 €, beträgt.Die Zinsen des ISB-Darlehens Erwerb von Genossenschaftsanteilen betragen für die Dauer von 10 Jahren 0,5 % p.a. Nach Ablauf der Zinsfestschreibung wird das Darlehen in marktüblicher Höhe verzinst. Die Tilgung beträgt mindestens 2,5 % p.a. zzgl. Ersparter Zinsen.Für die Bearbeitung des Darlehensantrages ist ein einmaliges Bearbeitungsentgelt von 1 % des beantragten Darlehensbetrages, mind. 250 € zu entrichten.","Das Antragsformular isthierabrufbar oder erhältlich bei den Stadt- und Kreisverwaltungen.Zur Beantragung des ISB-Darlehens reichen Sie diesen Antrag bei der zuständigen Stadt- oder Kreisverwaltung, in deren Gebiet das Objekt der Genossenschaft liegt, in dem Sie eine Wohnung beziehen wollen, ein.Bei Einhaltung der Fördervoraussetzungen erteilt die Verwaltung eine Förderbestätigung. Eine Kopie der Förderbestätigung wird der ISB gemeinsam mit Ihrem Antrag und den notwendigen Unterlagen zur abschließenden Darlehensbearbeitung weitergeleitet.",Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de || Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/704.html
Förderung des Baus von Mietwohnungen,"Auf der Grundlage desLandeswohnraumförderungsgesetzes (LWoFG)und den Förderbedingungen des Landes unterstützt die ISB den Bau vonMietwohnungen. Im Vorfeld ihrer Entscheidung berät sie die Investierenden sowohl beim Neubau und Ersterwerb als auch bei Umbau, Umwandlung und Erweiterung von Wohnungen.","Investierende, die mindestens vier klimagerechte und preiswerte Mietwohnungen errichten oder mindestens vier Einheiten erwerben (Ersterwerb). Die Mieterhaushalte dürfen bestimmte Einkommensgrenzen nicht überschreiten.",Mit einem nachrangig durch Grundpfandrecht abgesicherten Darlehen der ISB (ISB-Darlehen Mietwohnungen). Daneben werden Tilgungszuschüsse gewährt.Der Zinssatz beträgt 1 % p. a.Die Tilgung beträgt mindestens 1 % p. a. (Annuitätendarlehen).,,Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/551.html
Junges Wohnen - Studierenden- und Auszubildendenwohnheime,Auf der Grundlage desLandeswohnraumförderungsgesetzes (LWoFG)und der Förderbedingungen des Landes unterstützt die ISB den Bau von Studierenden- und Auszubildendenwohnheimen. Im Vorfeld ihrer Entscheidung berät sie die Investierenden.,"Investierende, die Studierenden- und Auszubildendenwohnheime mit preiswerten Mieten errichten.",Mit einem nachrangig durch Grundpfandrecht abgesicherten Darlehen der ISB (ISB-Darlehen Junges Wohnen).Daneben werden Tilgungszuschüsse gewährt.Der anfängliche Zinssatz beträgt 0 % jährlich.Die Tilgung beträgt mind. 1 % jährlich p.a. (Annuitätendarlehen).,,Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/556.html
Förderung von selbst genutztem Wohnraum,Sie wollen Wohneigentum kaufen oder bauen?Die ISB unterstützt Sie dabei mit einem ISB-DarlehenWohneigentum.,"Bauherrinnen/Bauherren oder Käuferinnen/Käufer selbst genutzten Wohneigentums, deren Haushaltseinkommen die Einkommensgrenzedes § 13 Abs. 2 Landeswohnraumförderungsgesetz (LWoFG)um nicht mehr als 60 % übersteigt.","Mit einem Darlehen der ISB, das in der Regel im Nachrang gesichert wirdMit einem Tilgungszuschuss bis zu 10 % auf das ISB-Darlehen. Eine Übersicht finden der Tilgungszuschüsse finden Siehier.Das ISB-Darlehen Wohneigentum setzt sich zusammen aus einem Grunddarlehen in Höhe von 30 % der Gesamtkosten sowie ggf. einem oder mehreren Zusatzdarlehen in Höhe von jeweils 5 % der Gesamtkosten.Zusatzdarlehen in Höhe von 5 % der Gesamtkosten können gewährt werdenbei Ersatzneubautenbei Haushalten, deren Einkommen die Einkommensgrenze des § 13 Abs. 2 LWoFG um nicht mehr als 10 % überschreitetje Kindje haushaltsangehörige Person mit Schwerbehinderung (Grad der Behinderung von wenigstens 50) oder pflegebedürftige Personen nach dem Elften Buch Sozialgesetzbuchbei Ankaufbei baulichen Maßnahmen nach einem Ankauf (Ankauf mit gleichzeitigem Umbau, Ausbau, Erweiterung, Umwandlung oder Modernisierung, wenn die baulichen Maßnahmen mindestens 10.000 Euro betragen.)Die Darlehensobergrenzen für das ISB-Darlehen Wohneigentum ist abhängig von der Fördermietenstufe, in der sich das Objekt befindet. Je nach Fördermietenstufe gelten folgende Höchstbeträge:","Das Antragsformular isthierabrufbar oder erhältlich bei den Stadt- und Kreisverwaltungen.Zur Beantragung des ISB-Darlehens reichen Sie diesen Antrag bei der zuständigen Stadt- oder Kreisverwaltung, in deren Gebiet der zu fördernde Wohnraum liegt, ein.Bei Einhaltung der Fördervoraussetzungen erteilt die Verwaltung eine Förderbestätigung. Eine Kopie der Förderbestätigung wird der ISB gemeinsam mit Ihrem Antrag und den notwendigen Unterlagen zur abschließenden Darlehensbearbeitung weitergeleitet.",Beratung Wohnraumförderung | 06131 6172-1991 | wohnraum@isb.rlp.de || Martin Dzikowski | 06131 6172-1617 | martin.dzikowski@isb.rlp.de || Annette Fries | 06131 6172-1658 | annette.friess@isb.rlp.de || Oliver Jung | 06131 6172-1768 | oliver.jung@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de,https://isb.rlp.de/foerderung/503.html
Förderung von Gemeinschaftswohnungen für betreute Wohngruppen und Wohngemeinschaften,"Barrierefreiheit, gemeinschaftliches Wohnen sowie Pflege- und Unterstützungsleistungen gewinnen zunehmend an Bedeutung. Das selbstbestimmte Wohnen hat dabei für die meisten Menschen nach wie vor oberste Priorität. Dies gilt nicht nur für ältere Menschen, sondern auch für Menschen mit Behinderung.Auf der Grundlage des Landeswohnraumförderungsgesetzes (LWoFG) und den Förderbedingungen des Landes unterstützt die ISB den Bau von Gemeinschaftswohnungen. In diesem Programm wird Wohnraum für betreute Wohngruppen und Wohngemeinschaften gefördert. Wohnformen, die barrierefrei ein gemeinschaftliches Wohnen – auch für Menschen mit Demenz - ermöglichen. Darüber hinaus werden Wohngemeinschaften für Studierende oder Auszubildende sowie ältere oder behinderte Menschen gefördert, die ebenfalls barrierefrei zu errichten sind.Im Vorfeld ihrer Entscheidung berät sie die Bauherrin oder den Bauherren sowohl beim Neubau und Ersterwerb als auch bei Umbau, Umwandlung und Erweiterung.","Investierende, die Gemeinschaftswohnungen für betreute Wohngruppen für ältere Menschen, volljährige Menschen mit Behinderungen und pflegebedürftige volljährige Menschen mit Unterstützungsbedarf schaffenInvestierende, die Gemeinschaftswohnungen für Wohngemeinschaften für Studierende, Auszubildende, ältere oder behinderte Menschen schaffen und diesem Personenkreis preisgünstig zur Verfügung stellen.",Mit einem nachrangig durch Grundpfandrecht abgesichertenDarlehender ISB (ISB-DarlehenGemeinschaftswohnungen). Daneben werden Tilgungszuschüsse gewährt.Der Zinssatz beträgt 1 % p.a. Die Tilgung beträgt mindestens 1 % p.a. (Annuitätendarlehen).,,Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/554.html
Modernisierung selbst genutzten Wohnraums,In diesem Programm wird die Modernisierung von selbst genutztem Wohneigentum gefördert. Kosten für die Modernisierung einer Einliegerwohnung können in diesem Programm nicht finanziert werden.,"Eigentümerinnen/Eigentümer oder dinglich Nutzungsberechtigte selbst genutzten Wohneigentums, deren Einkommen die Einkommensgrenze des§ 13 Abs. 2 Landeswohnraumförderungsgesetz (LWoFG)um nicht mehr als 10 % oderum nicht mehr als 60 %überschreitet","Mit einem Darlehen der ISB, das in der Regel im Nachrang abgesichert wirdDas Darlehen beträgt für einen 4-Personenhaushalt max. 100.000 Euro, für jedes weitere Haushaltsmitglied kann das Darlehen um 5.000 Euro erhöht werdenDas Darlehen ist begrenzt auf die Höhe der voraussichtlichen Investitionskosten. Die voraussichtlichen Kosten der Modernisierung sind bei Antragsstellung durch einen fachkundig erstellten Kostenvoranschlag zu belegen.Daneben können Haushalte, deren Einkommen die Einkommensgrenze des§ 13 Abs. 2 Landeswohnraumförderungsgesetz (LWoFG)um nicht mehr als 10 % überschreitet, einen Tilgungszuschuss von bis zu 25 % des ISB-Darlehens beantragen. Haushalte, deren Einkommen die Einkommensgrenze des § 13 Abs. 2 Landeswohnraumförderungsgesetz (LWoFG) um nicht mehr als 60 % überschreitet, können einen Tilgungszuschuss von bis zu 15 % des ISB-Darlehens beantragen.Bei Stellung des Förderantrages ist ein Energieeffizienz-Experte oder Energieeffizienz-Expertin für Förderprogramme des Bundes im Hinblick auf die Effizienzhausstandards einzubinden, sofern der Effizienzhausstandard EH 85 (GEG 2023) oder EH 55 (GEG 2023) erreicht wird.Zugelassen sind alle Energieeffizienz-Expertinnen und Energieeffizienz-Experten, die in der Expertenliste für Förderprogramme des Bundes unter www.energie-effizienz-experten.de als Sachverständige aufgeführt sind.",,Beratung Wohnraumförderung | 06131 6172-1991 | wohnraum@isb.rlp.de || Martin Dzikowski | 06131 6172-1617 | martin.dzikowski@isb.rlp.de || Annette Fries | 06131 6172-1658 | annette.friess@isb.rlp.de || Oliver Jung | 06131 6172-1768 | oliver.jung@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de,https://isb.rlp.de/foerderung/505.html
Modernisierung vermieteten Wohnraums,"Auf der Grundlage desLandeswohnraumförderungsgesetzes (LWoFG)und den Förderbedingungen des Landes unterstützt die ISB die Modernisierung vonMietwohnungen. Im Vorfeld ihrer Entscheidung berät sie die Bauherrin oder den Bauherrn zu allen Maßnahmen, die in diesem Rahmen gefördert werden.",Eigentümerinnen/Eigentümer von MietwohnungenDinglich Nutzungsberechtigte,"Mit einem nachrangig durch Grundpfandrecht abgesicherten Darlehen der ISB (ISB-Darlehen Modernisierung von Mietwohnungen).Daneben wird ein Tilgungszuschuss von bis zu 40 % des ISB-Darlehens gewährt.Die Höhe des ISB-Darlehens Modernisierung von Mietwohnungen beträgt max. 140.000 Euro wenn kein Effizienzhausstandard und 175.000 Euro je Wohnung, wenn mindestens ein Effizienzhausstandard von 85 (gemäß GEG in der jeweils gültigen Fassung) erreicht wird.Das ISB-Darlehen ist begrenzt auf die Höhe der voraussichtlichen Investitionskosten und muss mindestens 5.000 Euro je Wohnung betragen. Die Investitionskosten sind durch einen fachkundig erstellten Kostenvoranschlag zu belegen.Bei einer klimagerechten Modernisierung ist ein Energieeffizienz-Experte oder Energieeffizienz-Expertin für Förderprogramme des Bundes im Hinblick auf die Einhaltung des Effizienzhausstandards von mindestens 85 (GEG in der jeweils gültigen Fassung) und die Verwendung ökologischer Baustoffe bereits bei Antragsstellung einzubinden. Zugelassen sind alle Energieeffizienz-Expertinnen und Energieeffizienz-Experten, die in der Expertenliste für Förderprogramme des Bundes unterwww.energie-effizienz-experten.deals Sachverständige aufgeführt sind.Voraussetzung ist, dass nach Abschluss der Modernisierung festgelegte Anfangsmieten in dem geförderten Mietobjekt nicht überschritten werden. Ferner dürfen die Mieterhaushalte bestimmte Einkommensgrenzen nicht überschreiten.",,Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Martin Dzikowski | 06131 6172-1617 | martin.dzikowski@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/553.html
„Junges Wohnen“ Modernisierung von Studierenden- und Auszubildendenwohnheimen,"Auf der Grundlage desLandeswohnraumförderungsgesetzes (LWoFG)und den Förderbedingungen des Landes unterstützt die ISB die Modernisierung von Studierenden- und Auszubildendenwohnheimen. Im Vorfeld ihrer Entscheidung berät sie die Investierenden zu allen Maßnahmen, die in diesem Rahmen gefördert werden.","Eigentümerinnen und Eigentümer von Studierenden - und AuszubildendenwohnheimenVoraussetzung ist, dass nach Abschluss der Modernisierung die festgelegten Anfangsmieten eingehalten werden. Studierende müssen Immatrikulationsbescheinigungen und Auszubildende geeignete Nachweise über das Bestehen eines Ausbildungsverhältnisses vor Mietbeginn vorlegen.",Mit einem nachrangig durch Grundpfandrecht abgesichertem Darlehen der ISB (ISB-Darlehen „Junges Wohnen“ Modernisierung von Studierenden- und Auszubildendenwohnheimen).Daneben wird ein Tilgungszuschuss des ISB-Darlehens gewährt.Das Darlehen beträgt bis zu 60.000 Euro je Bewohnerplatz bzw. bis zu 100.000 Euro je Bewohnerplatz bei der klimagerechten Modernisierung und  ist begrenzt auf die Höhe der voraussichtlichen Investitionskosten. Die Investitionskosten sind durch einen fachkundig erstellten Kostenvoranschlag zu belegen und müssen mindestens 5.000 Euro je Bewohnerpletz betragen.,,Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de || Reto Schmitt | 06131 6172-1233 | reto.schmitt@isb.rlp.de || Alexandra Wüst | 06131 6172-1764 | alexandra.wuest@isb.rlp.de,https://isb.rlp.de/foerderung/558.html
Sonderprogramm zur Förderung von Wohnraum für Flüchtlinge und Asylbegehrende,Vor dem Hintergrund einer steigenden Zahl von Flüchtlingen und Asylbegehrenden in Rheinland-Pfalz und der damit verbundenen Nachfrage nach Wohnraum soll mit diesem Programm die Wohnraumversorgung von Flüchtlingen oder Asylbegehrende in Rheinland-Pfalz im Anschluss an die vorläufige staatliche Unterbringung nachhaltig verbessert werden.,"Eigentümerinnen und Eigentümer oder dinglich Nutzungsberechtigte von Gebäuden, die diese für die Unterbringung von Flüchtlingen oder Asylbegehrende herrichten.",Mit einem i. d. R. nachrangig durch Grundpfandrecht gesicherten Darlehen der ISB (ISB-Darlehen Wohnraum für Flüchtlinge und Asylbegehrende).Daneben wird ein Tilgungszuschuss von 25 % des ISB-Darlehens gewährt.Die Höhe des ISB-Darlehens  Wohnraum für Flüchtlinge und Asylbegehrende beträgt 1.150 € je m² förderfähiger Wohnfläche. Das Darlehen ist begrenzt auf die Höhe der voraussichtlichen Investitionskosten. Die voraussichtlichen Investitionskosten sind durch einen fachkundig erstellten Kostenvoranschlag zu belegen.,"Den Antrag können Siehierabrufen. Wir empfehlen im Vorfeld ein Beratungsgespräch in der ISB.Mit dem Antrag ist eine Stellungnahme der zuständigen Gemeinde, ob das Bauvorhaben geeignet ist, auf ISB Vordruck vorzulegen. Die fachliche Stellungnahme des Ministeriums für Familie, Frauen, Jugend, Integration und Verbraucherschutz (MFFJIV) holt die ISB ein.",Beratung Wohnraumförderung | 06131 6172-1991 | wohnraum@isb.rlp.de || Martin Dzikowski | 06131 6172-1617 | martin.dzikowski@isb.rlp.de || Bernd Wilhelm | 06131 6172–1839 | bernd.wilhelm@isb.rlp.de || Ulrike Maehrlein | 06131 6172-1645 | ulrike.maehrlein@isb.rlp.de,https://isb.rlp.de/foerderung/759.html
ISB Kommunaldarlehen,"Um die kommunale Handlungsfreiheit und die Lebensqualität in Rheinland-Pfalz zu sichern, vergeben wir langfristig zinsgünstige Kredite an Kommunen und ihre kommunale Einrichtungen.",Die Finanzierung richtet sich an Einrichtungen des öffentlichen Sektors mit Sitz in Rheinland-Pfalz:GebietskörperschaftenÖffentlich-rechtliche Zweckverbände,Laufzeiten/Zinsbindungen:bis zu 30 JahreDarlehnsformen:Endfällige DarlehenTilgungsdarlehenAnnuitätendarlehenjeweils alsFestzinsdarlehenRoll-over-Darlehen (variable Verzinsung),Die ISB unterbreitet auf Anfrage ein Angebot für den Abschluss eines Finanzierungsvertrages.Ihre Anfrage richten Sie bitte anisb-kommunalkredite@isb.rlp.de.,Beratung ISB Kommunaldarlehen | isb-kommunalkredite@isb.rlp.de || Heike Bicking | 06131 6172-1266 | heike.bicking@isb.rlp.de || Olga Wolter | 06131 6172-1341 | olga.wolter@isb.rlp.de || Maximilian Schäfer | 06131 6172-1400 | maximilian.schaefer@isb.rlp.de || Anna Groma | 06131 6172-1615 | anna.groma@isb.rlp.de || Marc Lungwitz | 06131 6172-1394 | marc.lungwitz@isb.rlp.de,https://isb.rlp.de/foerderung/202.html
Infrastrukturfinanzierung in Rheinland-Pfalz,"Mit dem Programm leistet die Investitions- und Strukturbank Rheinland-Pfalz (ISB) einen Beitrag zur Finanzierung von kleinen und mittleren Infrastrukturvorhaben oder Investitionen zur nachhaltigen Kommunal- und Regionalentwicklung in Rheinland-Pfalz. Finanzierungsziele sind die Förderung des wirtschaftlichen und sozialen Zusammenhalts und der Konvergenz in der erweiterten Union, Umweltschutz und nachhaltige Kommunalentwicklung, Förderung einer nachhaltigen, wettbewerbsfähigen und sicheren Energieversorgung und der Ausbau transeuropäischer Netze.","Einrichtungen des öffentlichen Sektors und privatwirtschaftlich organisierte Unternehmen der öffentlichen Hand:GebietskörperschaftenKörperschaften und Anstalten des öffentlichen RechtsÖffentlich-rechtliche ZweckverbändeVerbände, die aus einem oder mehreren dieser Körperschaften bzw. Anstalten des öffentlichen Rechts bestehenKommunale Unternehmen in Form einer GmbH oder AGStiftungen des öffentlichen Rechtsgemeinnützige Organisationen, einschließlich Kirchen","Die Förderung erfolgt in der Regel durch Kredite, die entweder durch die ISB direkt oder von der ISB als Teil eines Kreditkonsortiums vergeben werden. Auch andere Finanzierungsformen – wie zum Beispiel Forfaitierung von Forderungen – sind möglich. Die Konditionen orientieren sich am Grad der Verflechtung mit den Gebietskörperschaften sowie der konkreten Besicherung des Vorhabens. Die Laufzeit der Finanzierung beträgt bis zu 30 Jahre und kann 100 % derGesamtkostendes Vorhabens betragen. Der Kreditmindestbetrag liegt in der Regel bei 250.000 Euro und der Kredithöchstbetrag in der Regel bei 25 Mio. Euro.",Die ISB unterbreitet auf Anfrage ein Angebot für den Abschluss eines Finanzierungsvertrages.Ihre Anfrage richten Sie bitte per E-Mail anisb-kommunalkredite@isb.rlp.de.,Beratung ISB Kommunaldarlehen | isb-kommunalkredite@isb.rlp.de || Heike Bicking | 06131 6172-1266 | heike.bicking@isb.rlp.de || Anna Groma | 06131 6172-1615 | anna.groma@isb.rlp.de || Maximilian Schäfer | 06131 6172-1400 | maximilian.schaefer@isb.rlp.de,https://isb.rlp.de/foerderung/147.html
Zweckgebundene Kommunalkredite zur Unterbringung von Flüchtlingen,Vor dem Hintergrund einer steigenden Zahl von Flüchtlingen und Asylbegehrenden in Rheinland-Pfalz und der damit verbundenen Nachfrage nach Wohnraum soll mit diesem Programm die Wohnraumversorgung durch Gebietskörperschaften für Flüchtlinge und Asylbegehrende in Rheinland-Pfalz nachhaltig verbessert werden.,Gebietskörperschaften und kommunale Zweckverbände,"Das Festzinsdarlehen, welches in maximal 2 Teilbeträgen abgerufen werden kann, erfolgt zu Kommunalkreditkonditionen der ISB. Der Zinssatz beträgt 0 % p.a. (die Verbilligung erfolgt durch das Land Rheinland-Pfalz) für die ersten 3 Jahre der Laufzeit. Ggf. kann eine Verlängerung der zinsfreien Zeit gewährt werden. Die Zinsbindung beträgt maximal 10 Jahre und die Rückzahlung des Darlehens kann ratierlich oder endfällig erfolgen.",,Beratung ISB Kommunaldarlehen | isb-kommunalkredite@isb.rlp.de || Heike Bicking | 06131 6172-1266 | heike.bicking@isb.rlp.de || Olga Wolter | 06131 6172-1341 | olga.wolter@isb.rlp.de || Maximilian Schäfer | 06131 6172-1400 | maximilian.schaefer@isb.rlp.de,https://isb.rlp.de/foerderung/170.html
Zuwendungen zur Verbesserung der Versorgung von Binnenschiffen mit Landstrom in Rheinland-Pfalz,"Die Antragsfrist ist abgelaufen, daher können keine Anträge mehr gestellt werden.","Zuwendungsempfänger sind juristische Personen des öffentlichen und des privaten Rechts die Landstromanlagen bereitstellen, betreiben, anbieten oder dies für die Zukunft planen.","Die Zuwendung erfolgt als Anteilfinanzierung mit einem Fördersatz von bis zu 80 v. H. der förderfähigen Kosten, der Bund beteiligt sich mit bis zu 75 v. H. an der Zuwendung",,Tobias Stellwagen | 06131 6172-1404 | tobias.stellwagen@isb.rlp.de || Georg Münch | 06131 16-2289 | Georg.Muench@mwvlw.rlp.de,https://isb.rlp.de/foerderung/245l.html
